Team,abv
Milwaukee Bucks,MIL
Boston Celtics,BOS
Miami Heat,MIA
Toronto Raptors,TOR
Philadelphia 76ers,PHI
Indiana Pacers,IND
Orlando Magic,ORL
Brooklyn Nets,BRK
Charlotte Hornets,CHO
Chicago Bulls,CHI
Washington Wizards,WAS
Detroit Pistons,DET
Cleveland Cavaliers,CLE
Atlanta Hawks,ATL
New York Knicks,NYK
os Angeles Lakers,LAL
Denver Nuggets,DEN
Houston Rockets,HOU
Los Angeles Clippers,LAC
Dallas Mavericks,DAL
Utah Jazz,UTA
Minnesota Timberwolves,MIN
Phoenix Suns,PHO
Sacramento Kings,SAC
New Orleans Pelicans,NOP
Memphis Grizzlies,MEM
Oklahoma City Thunder,OKC
San Antonio Spurs,SAS
Portland Trail Blazers,POR
Golden State Warriors,GSW
